"CLAVE SITIO","CLAVE DE MONITOREO","NOMBRE DEL SITIO","FECHA REALIZACIÓN","Año","DQO_ESTADO","TIPO CUERPO DE AGUA","COLI_FEC","COLI_TOT","E_COLI","N_NH3","N_NO2","N_TOTK","TOX_D_48_UT","P_TOT","ORTO_PO4","COLOR_VER","ABS_UV","CONDUC_CAMPO","pH_CAMPO","OD_mgL","SAAM","SST","CD_TOT","CR_TOT","HG_TOT","NI_TOT","CN_TOT","DUR_TOT","TEMP_AMB","TEMP_AGUA","CAUDAL","COT_NOM","TOX_NOM","TIPO_LOTICO","y"
"OCGCE3246","OCGCE3246-010614","PASO JARDIN",41866,2014,"CUMPLE","LÓTICO",280,390,210,0.00175,0.031,0.447,0.5,0.06,0.00075,100,0.332,135,7.6,5.6,0.066,75.7,0.0006505,6e-04,0.00010065,0.0085,5e-04,27.7,24.9,21.8,28556,0,0,1,0
"DLPUE2038","DLPUE2038-100313","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",41340,2013,"INCUMPLE","LÓTICO",280,390,210,1.869,0.033,2.335,0.5,2.896,1.597,40,0.0045,1343,8.91,3.9,2.42016681200364,19,0.0006505,6e-04,0.00010065,0.00021,0.0020808458213942,396,25.3,18.4,1399.89,0,0,1,1
"DLPUE2033","DLPUE2033-190415","RIO NEXAPA 13",42111,2015,"INCUMPLE","LÓTICO",24000,24000,11000,3.83,0.03,7.392,0.5,1.276,1.182,30,0.331,845,7.4,0.5,4.7,79,0.0006505,0.0055,0.00010065,0.0081,5e-04,220,32,23.4,176,0,0,1,1
"DLPUE2038","DLPUE2038-050217","BACARDI Y COMPAÑIA, S.A. DE C.V. (AGUAS ARRIBA)",42768,2017,"INCUMPLE","LÓTICO",24000,24000,24000,8.662,2.262,21.148,0.5,2.126,1.874,30,0.153,1401.6,7.9,4.42,0.268,44,0.0006505,6e-04,0.00010065,0.00753,5e-04,492,22.5,19.1,1261.5,0,0,1,1
"DLPUE1989","DLPUE1989-080913","LA AUTOPISTA P1 (24)",41520,2013,"INCUMPLE","LÓTICO",2400,2400,460,0.739,0.112,0.739,0.5,2.153,0.074,150,0.194,380,6.78,5.5,0.183611899758061,2520,0.01,0.089,0.0014,0.064,0.0008773659499134,200,17.6,19,14004.3,0,0,1,1
"DLPUE2036","DLPUE2036-290913","NEXAPA-LAS FAJANAS P1 (33)",41544,2013,"INCUMPLE","LÓTICO",70,110,40,0.056,0.27,1.512,0.5,0.654,0.543,100,0.146,545,7.68,5.4,0.403494538467391,545,0.0006505,0.022,0.00010065,0.004,0.0007079625646874,380,19.8,18.4,27226.9,0,0,1,1
"DLPUE2011","DLPUE2011-300717","VILLA AVILA CAMACHO",42942,2017,"CUMPLE","LÓTICO",24000,24000,24000,0.244,0.0025,0.672,0.5,0.035,0.032,20,0.056,282.3,7.5,6,0.005,46,0.0006505,6e-04,0.00010065,0.00309,5e-04,140,26.5,23.4,22006.5,0,0,1,0
"DLPUE2028","DLPUE2028-111112","RIO NEXAPA 8",41240,2012,"INCUMPLE","LÓTICO",28,75,4,18.11,0.006,19.19,0.5,3.459,10.585,2.5,0.0045,1120,7.61,1.9,1.89732474594654,102.5,0.0006505,6e-04,0.00010065,0.00021,0.0024303835215689,474.32,29,17.1,3028.6,0,0,1,1
"DLPUE2066","DLPUE2066-041112","DESPUES DE BACHOCO",41254,2012,"INCUMPLE","LÓTICO",210,1100,9,154.59,0.012,205.69,1.8,8.272,25.312,30,0.054,2600,7.63,0.5,19.92686,300,0.0006505,6e-04,0.00010065,0.00021,0.0099646683259873,415.52,21,20.1,0.002,1,0,1,1
"DLPUE1989","DLPUE1989-261014","LA AUTOPISTA P1 (24)",41921,2014,"INCUMPLE","LÓTICO",24000,24000,11000,2.07,0.155,11.027,0.5,1.46,0.618,80,0.414,413,7.5,4.7,0.168,1270,0.0039,0.0583,0.00010065,0.0437,5e-04,146.5,19.5,17.1,16860,0,0,1,1
"DLTLA2546","DLTLA2546-250813","TLAPALAC ANTES DE CONFLUENCIA CON RIO ATOYAC",41506,2013,"INCUMPLE","LÓTICO",1100,2400,460,1.296,0.028,22.128,0.5,0.948,0.838,60,0.3,1091,7.42,0.5,5.94807731304734,5,0.0006505,6e-04,4e-04,0.00021,0.0007625268821473,345,16.9,16.5,119.3,0,1,1,1
